Дата;eq 1;eq 2;eq 3;eq 4;eq 5;eq 6;eq 7;eq 8;eq 9;eq 10;eq 11;eq 12;eq 13;eq 14;eq 15;eq 16;eq 17;eq 18;eq 19;eq 20;eq 21;eq 22;eq 23;eq 24;eq 25;eq 26;eq 27;eq 28;eq 29;eq 30;eq 31;eq 32;eq 33;eq 34;eq 35;eq 36;eq 37;eq 38;eq 39;eq 40
08.12.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-19:00 замена мишеней;в работе;08:00-17:00 ТО;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
09.12.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
10.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
11.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;00:00-16:00;00:00-16:00;00:00-19:00;00:00-19:00
12.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;;;;
13.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;;;;
14.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;08:00-24:00;08:00-24:00;08:00-24:00;08:00-24:00
15.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
16.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
17.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
18.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
19.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
20.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
21.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
22.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
23.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
24.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
25.12.2013;;;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
26.12.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
27.12.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
28.12.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
29.12.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
30.12.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
31.12.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
01.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
02.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
03.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
04.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
05.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
06.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
07.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
08.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
09.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
10.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
11.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
12.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
13.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
14.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
15.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
16.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
17.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;;;;;;;в работе;в работе;в работе;в работе
18.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
19.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
20.01.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
21.01.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
22.01.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
23.01.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
24.01.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;;в работе;в работе
25.01.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;;в работе;в работе
26.01.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;;в работе;в работе
27.01.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;замена мишеней;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;;в работе;в работе
28.01.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;;в работе;в работе
29.01.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;;в работе;в работе
30.01.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;;в работе;в работе
31.01.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;;в работе;в работе
01.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
02.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
03.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
04.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
05.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
06.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
07.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
08.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
09.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
10.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
11.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
12.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
13.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
14.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
15.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
16.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
17.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
18.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
19.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
20.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
21.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
22.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
23.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;ТО ;ТО ;ТО ;ТО ;;ТО ;08:00-20:00 ТО;08:00-20:00 ТО;08:00-20:00 ТО;08:00-20:00 ТО
24.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
25.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
26.02.2014;;standby;10:00-14:00 ТО;в работе;;10:00-14:00 ТО;;;standby;standby;standby;;;;standby;standby;;;;;08:00-15:30 ТО;;09:00-14:00 ТО;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе
27.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;подача питания;в работе;в работе;в работе;в работе;в работе
28.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;ПНР;в работе;в работе;в работе;в работе;в работе
29.02.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;ПНР Поставили в нагрев второй этаж. ;в работе;в работе;в работе;в работе;в работе
01.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
02.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
03.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
04.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
05.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;запуск вакуум. насосов;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
06.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;с 08:00 нагрев;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
07.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
08.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
09.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
10.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
11.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;08:00-15:00 замена мишеней;;08:00-15:00 ТО;;;08:00-15:00 ТО;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
12.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
13.03.2014;;standby;в работе;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
14.03.2014;;standby;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
15.03.2014;;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
16.03.2014;;в работе;standby;standby;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
17.03.2014;;в работе;standby;standby;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
18.03.2014;;в работе;standby;standby;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
19.03.2014;;в работе;standby;standby;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;ТО;ТО;ТО;ТО
20.03.2014;;в работе;standby;standby;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
21.03.2014;;в работе;в работе;standby;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
22.03.2014;;в работе;в работе;standby;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
23.03.2014;;в работе;в работе;standby;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
24.03.2014;;в работе;в работе;standby;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
25.03.2014;;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;;;в работе;;в работе;;;в работе;в работе;в работе;;;ТО;ТО;ТО;ТО;ТО;ТО;в работе;в работе;в работе;в работе
26.03.2014;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;;;в работе;в работе;в работе;;;в работе;;замена мишеней;в работе;в работе;;;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
