Дата;Часы;Факт, Мвт*ч;Плановая температура;
25.07.2013;9;7,518;19;
25.07.2013;10;7,602;20;
25.07.2013;11;8,006;20;
25.07.2013;12;7,98;21;
25.07.2013;13;8,057;21;
25.07.2013;14;8,161;21;
25.07.2013;15;8,278;21;
25.07.2013;16;8,111;21;
25.07.2013;17;7,963;21;
25.07.2013;18;7,926;20;
25.07.2013;19;7,833;19;
25.07.2013;20;7,678;18;
25.07.2013;21;7,784;17;
25.07.2013;22;7,787;17;
25.07.2013;23;7,72;16;
26.07.2013;0;7,691;15;
26.07.2013;1;7,715;15;
26.07.2013;2;7,648;15;
26.07.2013;3;7,771;15;
26.07.2013;4;7,842;15;
26.07.2013;5;7,85;16;
26.07.2013;6;7,817;17;
26.07.2013;7;7,817;18;
26.07.2013;8;7,572;19;
26.07.2013;9;7,514;20;
26.07.2013;10;7,758;21;
26.07.2013;11;7,821;22;
26.07.2013;12;8,308;23;
26.07.2013;13;8,334;24;
26.07.2013;14;8,534;24;
26.07.2013;15;8,61;25;
26.07.2013;16;8,682;25;
26.07.2013;17;8,842;24;
26.07.2013;18;8,488;24;
26.07.2013;19;8,489;23;
26.07.2013;20;8,207;22;
26.07.2013;21;8,153;22;
26.07.2013;22;8,106;21;
26.07.2013;23;8,056;20;
27.07.2013;0;7,905;20;
27.07.2013;1;8,002;20;
27.07.2013;2;8,004;20;
27.07.2013;3;7,931;20;
27.07.2013;4;7,875;21;
27.07.2013;5;7,863;21;
27.07.2013;6;8,06;22;
27.07.2013;7;8,367;23;
27.07.2013;8;8,648;24;
27.07.2013;9;8,942;26;
27.07.2013;10;9,132;27;
27.07.2013;11;9,286;28;
27.07.2013;12;9,262;29;
27.07.2013;13;9,026;30;
27.07.2013;14;8,963;30;
27.07.2013;15;9,051;30;
27.07.2013;16;9,077;30;
27.07.2013;17;9,081;29;
27.07.2013;18;8,783;27;
27.07.2013;19;8,702;26;
27.07.2013;20;8,438;25;
27.07.2013;21;8,375;23;
27.07.2013;22;8,287;22;
27.07.2013;23;8,186;21;
28.07.2013;0;7,973;21;
28.07.2013;1;7,989;20;
28.07.2013;2;8,014;20;
28.07.2013;3;7,913;20;
28.07.2013;4;7,862;20;
28.07.2013;5;8,103;21;
28.07.2013;6;8,064;23;
28.07.2013;7;8,317;25;
28.07.2013;8;8,657;27;
28.07.2013;9;9,265;29;
28.07.2013;10;9,643;31;
28.07.2013;11;9,946;33;
28.07.2013;12;10,111;33;
28.07.2013;13;10,125;33;
28.07.2013;14;10,115;33;
28.07.2013;15;9,854;32;
28.07.2013;16;9,307;32;
28.07.2013;17;8,786;31;
28.07.2013;18;8,691;30;
28.07.2013;19;8,506;28;
28.07.2013;20;8,185;26;
28.07.2013;21;8,384;25;
28.07.2013;22;8,207;24;
28.07.2013;23;8,073;23;
29.07.2013;0;8,136;23;
29.07.2013;1;8,056;22;
29.07.2013;2;7,968;21;
29.07.2013;3;7,98;21;
29.07.2013;4;7,783;21;
29.07.2013;5;7,955;22;
29.07.2013;6;8,124;24;
29.07.2013;7;8,388;26;
29.07.2013;8;8,77;28;
29.07.2013;9;9,37;30;
29.07.2013;10;9,635;32;
29.07.2013;11;9,35;33;
29.07.2013;12;9,568;34;
29.07.2013;13;9,74;34;
29.07.2013;14;9,619;33;
29.07.2013;15;9,261;32;
29.07.2013;16;8,678;31;
29.07.2013;17;8,996;30;
29.07.2013;18;9,111;29;
29.07.2013;19;8,122;27;
29.07.2013;20;7,796;26;
29.07.2013;21;7,67;24;
29.07.2013;22;7,787;24;
29.07.2013;23;7,674;23;
30.07.2013;0;8,068;23;
30.07.2013;1;8,119;22;
30.07.2013;2;8,094;22;
30.07.2013;3;8,056;21;
30.07.2013;4;7,805;21;
30.07.2013;5;7,766;21;
30.07.2013;6;8,278;22;
30.07.2013;7;8,321;22;
30.07.2013;8;8,421;23;
30.07.2013;9;8,501;24;
30.07.2013;10;8,615;25;
30.07.2013;11;8,67;25;
30.07.2013;12;8,601;26;
30.07.2013;13;8,581;26;
30.07.2013;14;8,686;27;
30.07.2013;15;8,942;27;
30.07.2013;16;8,888;26;
30.07.2013;17;8,779;25;
30.07.2013;18;8,417;24;
30.07.2013;19;8,328;22;
30.07.2013;20;8,048;21;
30.07.2013;21;8,266;20;
30.07.2013;22;8,149;20;
30.07.2013;23;7,938;19;
31.07.2013;0;7,909;19;
31.07.2013;1;7,988;19;
31.07.2013;2;8,069;18;
31.07.2013;3;8,018;18;
31.07.2013;4;7,985;18;
31.07.2013;5;7,955;18;
31.07.2013;6;8,094;19;
31.07.2013;7;8,11;20;
31.07.2013;8;8,262;20;
31.07.2013;9;8,355;21;
31.07.2013;10;8,404;22;
31.07.2013;11;8,438;22;
31.07.2013;12;8,312;22;
31.07.2013;13;8,547;22;
31.07.2013;14;8,556;22;
31.07.2013;15;8,581;22;
31.07.2013;16;8,455;21;
31.07.2013;17;8,476;21;
31.07.2013;18;8,451;20;
31.07.2013;19;8,212;19;
31.07.2013;20;8,22;19;
31.07.2013;21;8,27;18;
31.07.2013;22;8,245;18;
